PCT,crime_category,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,misdemeanor_offenses_listing,ADMINISTRATIVE CODE (6)            ,5.0,3.0,0.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
1,misdemeanor_offenses_listing,FRAUDS (3)                    ,233.0,266.0,327.0,987.0,604.0,313.0,322.0,244.0,312.0,411.0,511.0,345.0,307.0,290.0,207.0,141.0
1,misdemeanor_offenses_listing,AGGRAVATED HARASSMENT 2               ,547.0,568.0,476.0,475.0,450.0,445.0,379.0,424.0,404.0,425.0,429.0,343.0,400.0,400.0,230.0,233.0
1,misdemeanor_offenses_listing,OTHER MISDEMEANORS (8),456.0,398.0,232.0,199.0,264.0,204.0,172.0,254.0,248.0,336.0,451.0,669.0,666.0,647.0,497.0,623.0
1,misdemeanor_offenses_listing,TOTAL MISDEMEANOR OFFENSES,5609.0,5007.0,4190.0,4753.0,4289.0,3877.0,3669.0,4157.0,4192.0,4196.0,4125.0,4499.0,4693.0,4503.0,4043.0,3881.0
5,seven_major_felony_offenses,MURDER & NON NEGL. MANSLAUGHTER                                ,4.0,3.0,0.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0
5,seven_major_felony_offenses,RAPE                                  ,9.0,3.0,12.0,7.0,7.0,13.0,5.0,4.0,2.0,6.0,10.0,11.0,12.0,5.0,4.0,10.0
5,seven_major_felony_offenses,ROBBERY                               ,351.0,261.0,196.0,148.0,136.0,134.0,132.0,151.0,131.0,125.0,106.0,127.0,122.0,102.0,76.0,100.0
5,seven_major_felony_offenses,FELONY ASSAULT                        ,190.0,147.0,108.0,100.0,95.0,80.0,104.0,129.0,151.0,153.0,128.0,117.0,157.0,167.0,125.0,140.0
5,seven_major_felony_offenses,BURGLARY                              ,285.0,247.0,212.0,215.0,173.0,158.0,152.0,122.0,150.0,141.0,127.0,120.0,138.0,92.0,101.0,86.0
5,seven_major_felony_offenses,GRAND LARCENY                         ,824.0,697.0,687.0,681.0,688.0,674.0,605.0,582.0,573.0,528.0,582.0,560.0,548.0,599.0,536.0,559.0
5,seven_major_felony_offenses,GRAND LARCENY OF MOTOR VEHICLE                                  ,117.0,100.0,94.0,77.0,70.0,68.0,40.0,41.0,20.0,21.0,15.0,27.0,21.0,12.0,26.0,21.0
5,seven_major_felony_offenses,TOTAL SEVEN MAJOR FELONY OFFENSES,1780.0,1458.0,1309.0,1231.0,1170.0,1131.0,1040.0,1031.0,1029.0,975.0,969.0,962.0,1001.0,980.0,870.0,917.0
5,non_seven_major_felony-offenses,FELONY POSSESSION STOLEN PROPERTY            ,7.0,19.0,10.0,5.0,5.0,6.0,15.0,6.0,5.0,10.0,14.0,5.0,10.0,5.0,8.0,4.0
5,non_seven_major_felony-offenses,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,78.0,82.0,117.0,189.0,183.0,207.0,236.0,222.0,137.0,159.0,155.0,85.0,99.0,80.0,69.0,72.0
5,non_seven_major_felony-offenses,ARSON                                 ,20.0,19.0,6.0,11.0,7.0,10.0,1.0,4.0,15.0,13.0,6.0,6.0,12.0,13.0,10.0,8.0
5,non_seven_major_felony-offenses,FELONY SEX CRIMES (3),9.0,10.0,1.0,4.0,14.0,7.0,4.0,5.0,6.0,6.0,7.0,8.0,8.0,8.0,14.0,15.0
5,non_seven_major_felony-offenses,FELONY DANGEROUS DRUGS  (1),304.0,299.0,280.0,191.0,228.0,229.0,245.0,240.0,270.0,235.0,208.0,193.0,151.0,139.0,148.0,138.0
5,non_seven_major_felony-offenses,FELONY DANGEROUS WEAPONS (2)        ,14.0,12.0,9.0,9.0,11.0,18.0,31.0,25.0,33.0,22.0,19.0,18.0,14.0,20.0,17.0,21.0
5,non_seven_major_felony-offenses,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,77.0,118.0,87.0,54.0,51.0,66.0,87.0,75.0,97.0,54.0,59.0,55.0,59.0,46.0,54.0,58.0
